Převod,Zátěž [Ohm],Průtok [l/h],p [kPa],U [V],f [hz],I [A],P_T [W],P_G [W],Q_T [l/h],etha [-],H [m]
prevod,R,Q,p,U,f,I,Pt,Pg,Qt,etha,H
1,10,300,8,2.47,29.8,0.247,0.4333,0.6101,70.8,1.41,0.818
1,47,300,8,2.64,30,0.056,0.4333,0.1483,70.8,0.34,0.818
1,68,300,5,2.59,29.5,0.038,0.2708,0.0986,56.0,0.36,0.511
1,10,600,50,7.07,84,0.707,5.4167,4.9985,177.0,0.92,5.112
1,47,600,50,7.42,85.1,0.158,5.4167,1.1714,177.0,0.22,5.112
1,68,600,50,7.55,85.9,0.111,5.4167,0.8383,177.0,0.15,5.112
2,10,300,5,2.30,28.5,0.230,0.2708,0.5290,56.0,1.95,0.511
2,47,300,5,2.58,30.1,0.055,0.2708,0.1416,56.0,0.52,0.511
2,68,300,5,2.62,29.5,0.039,0.2708,0.1009,56.0,0.37,0.511
2,10,600,50,10.8,131,1.080,5.4167,11.6640,177.0,2.15,5.112
2,47,600,50,11.3,130,0.240,5.4167,2.7168,177.0,0.50,5.112
2,68,600,50,11.4,131.4,0.168,5.4167,1.9112,177.0,0.35,5.112
3,10,300,-,-,-,-,-,-,-,-,-
3,47,300,-,-,-,-,-,-,-,-,-
3,68,300,-,-,-,-,-,-,-,-,-
3,10,600,50,10,115,1.000,5.4167,10.0000,177.0,1.85,5.112
3,47,600,50,10.85,124,0.231,5.4167,2.5047,177.0,0.46,5.112
3,68,600,50,11.2,124.5,0.165,5.4167,1.8447,177.0,0.34,5.112
