I (A),čas (s),P [W] 
I,t,P
4.108,0.375,49.296
3.712,0.75,44.544
3.561,1.125,42.732
3.374,1.5,40.488
3.193,1.875,38.316
3.023,2.25,36.276
2.833,2.625,33.996
2.72,3,32.64
2.518,3.375,30.216
2.395,3.75,28.74
2.236,4.125,26.832
2.13,4.5,25.56
2.008,4.875,24.096
1.909,5.25,22.908
1.835,5.625,22.02
1.735,6,20.82
1.671,6.375,20.052
1.597,6.75,19.164
1.506,7.125,18.072
1.451,7.5,17.412
1.394,7.875,16.728
1.294,8.25,15.528
1.277,8.625,15.324
1.247,9,14.964
1.178,9.375,14.136
1.117,9.75,13.404
1.092,10.125,13.104
1.093,10.5,13.116
1.034,10.875,12.408
1.004,11.25,12.048
0.967,11.625,11.604
0.924,12,11.088
0.916,12.375,10.992
0.888,12.75,10.656
0.83,13.125,9.96
0.837,13.5,10.044
0.824,13.875,9.888
0.767,14.25,9.204
0.732,14.625,8.784
0.765,15,9.18
0.708,15.375,8.496
0.703,15.75,8.436
0.681,16.125,8.172
0.682,16.5,8.184
0.673,16.875,8.076
0.64,17.25,7.68
0.618,17.625,7.416
0.585,18,7.02
0.651,18.375,7.812
0.612,18.75,7.344
0.592,19.125,7.104
0.544,19.5,6.528
0.537,19.875,6.444
0.587,20.25,7.044
0.574,20.625,6.888
0.568,21,6.816
0.537,21.375,6.444
0.535,21.75,6.42
0.559,22.125,6.708
0.497,22.5,5.964
0.518,22.875,6.216
0.516,23.25,6.192
0.474,23.625,5.688
0.505,24,6.06
0.491,24.375,5.892
0.462,24.75,5.544
0.477,25.125,5.724
0.469,25.5,5.628
0.484,25.875,5.808
0.497,26.25,5.964
0.485,26.625,5.82
0.467,27,5.604
0.44,27.375,5.28
0.447,27.75,5.364
0.455,28.125,5.46
0.466,28.5,5.592
0.43,28.875,5.16
0.398,29.25,4.776
0.385,29.625,4.62
