I (A),čas (s),P [W] 
I,t,P
-3.14,0.375,21.69112
-2.904,0.75,18.5530752
-2.712,1.125,16.1808768
-2.554,1.5,14.3504152
-2.403,1.875,12.7036998
-2.23,2.25,10.94038
-2.017,2.625,8.9502358
-1.873,3,7.7178838
-1.726,3.375,6.5539672
-1.576,3.75,5.4643072
-1.455,4.125,4.657455
-1.374,4.5,4.1533272
-1.298,4.875,3.7065688
-1.268,5.25,3.5372128
-1.132,5.625,2.8191328
-1.005,6,2.222055
-0.981,6.375,2.1171942
-0.879,6.75,1.6998102
-0.83,7.125,1.51558
-0.769,7.5,1.3009942
-0.765,7.875,1.287495
-0.654,8.25,0.9409752
-0.607,8.625,0.8105878
-0.625,9,0.859375
-0.541,9.375,0.6438982
-0.52,9.75,0.59488
-0.451,10.125,0.4474822
-0.415,10.5,0.378895
-0.418,10.875,0.3843928
-0.357,11.25,0.2803878
-0.306,11.625,0.2059992
-0.297,12,0.1940598
-0.318,12.375,0.2224728
-0.273,12.75,0.1639638
-0.258,13.125,0.1464408
-0.222,13.5,0.1084248
-0.205,13.875,0.092455
-0.184,14.25,0.0744832
-0.209,14.625,0.0960982
-0.196,15,0.0845152
-0.203,15.375,0.0906598
-0.151,15.75,0.0501622
-0.161,16.125,0.0570262
-0.16,16.5,0.05632
-0.124,16.875,0.0338272
-0.077,17.25,0.0130438
-0.118,17.625,0.0306328
-0.094,18,0.0194392
-0.075,18.375,0.012375
-0.097,18.75,0.0206998
-0.052,19.125,0.0059488
-0.065,19.5,0.009295
-0.064,19.875,0.0090112
-0.053,20.25,0.0061798
-0.043,20.625,0.0040678
-0.032,21,0.0022528
-0.036,21.375,0.0028512
-0.041,21.75,0.0036982
-0.03,22.125,0.00198
0,22.5,0
-0.017,22.875,0.0006358
-0.009,23.25,0.0001782
-0.017,23.625,0.0006358
0,24,0
0,24.375,0
0,24.75,0
0,25.125,0
0,25.5,0
0,25.875,0
0,26.25,0
0,26.625,0
0,27,0
0,27.375,0
0,27.75,0
0,28.125,0
0,28.5,0
0,28.875,0
0,29.25,0
0,29.625,0
