I (A),čas (s),"P [W] "
I,t,P
0,0.375,0
0,0.75,0
2.927,1.125,35.124
1.889,1.5,22.668
1.303,1.875,15.636
0.94,2.25,11.28
0.723,2.625,8.676
0.583,3,6.996
0.479,3.375,5.748
0.39,3.75,4.68
0.405,4.125,4.86
0.35,4.5,4.2
0.319,4.875,3.828
0.321,5.25,3.852
0.311,5.625,3.732
0.29,6,3.48
0.296,6.375,3.552
0.273,6.75,3.276
0.256,7.125,3.072
0.297,7.5,3.564
0.291,7.875,3.492
0.276,8.25,3.312
0.297,8.625,3.564
0.296,9,3.552
0.283,9.375,3.396
0.273,9.75,3.276
0.315,10.125,3.78
0.285,10.5,3.42
0.291,10.875,3.492
0.273,11.25,3.276
0.308,11.625,3.696
0.273,12,3.276
0.277,12.375,3.324
0.285,12.75,3.42
0.261,13.125,3.132
0.319,13.5,3.828
0.289,13.875,3.468
0.307,14.25,3.684
0.275,14.625,3.3
0.319,15,3.828
0.282,15.375,3.384
0.301,15.75,3.612
0.285,16.125,3.42
0.316,16.5,3.792
0.274,16.875,3.288
0.298,17.25,3.576
0.283,17.625,3.396
0.278,18,3.336
0.326,18.375,3.912
0.31,18.75,3.72
0.285,19.125,3.42
0.264,19.5,3.168
0.266,19.875,3.192
0.307,20.25,3.684
0.263,20.625,3.156
0.29,21,3.48
0.258,21.375,3.096
0.298,21.75,3.576
0.307,22.125,3.684
0.249,22.5,2.988
