I (A),čas (s),"P [W] "
I,t,P
0.275,0.375,0.166375
0.284,0.75,0.1774432
0.269,1.125,0.1591942
0.277,1.5,0.1688038
0.288,1.875,0.1824768
0.286,2.25,0.1799512
0.277,2.625,0.1688038
0.25,3,0.1375
0.283,3.375,0.1761958
-3.211,3.75,22.6831462
-2.149,4.125,10.1600422
-1.399,4.5,4.3058422
-0.843,4.875,1.5634278
-0.491,5.25,0.5303782
-0.274,5.625,0.1651672
-0.172,6,0.0650848
-0.095,6.375,0.019855
-0.044,6.75,0.0042592
-0.024,7.125,0.0012672
0,7.5,0
0,7.875,0
0,8.25,0
0,8.625,0
0,9,0
0,9.375,0
0,9.75,0
0,10.125,0
0,10.5,0
0,10.875,0
0,11.25,0
0,11.625,0
0,12,0
0,12.375,0
0,12.75,0
0,13.125,0
0,13.5,0
0,13.875,0
0,14.25,0
0,14.625,0
0,15,0
0,15.375,0
0,15.75,0
0,16.125,0
0,16.5,0
0,16.875,0
0,17.25,0
0,17.625,0
0,18,0
0,18.375,0
0,18.75,0
0,19.125,0
0,19.5,0
0,19.875,0
0,20.25,0
0,20.625,0
0,21,0
0,21.375,0
0,21.75,0
0,22.125,0
0,22.5,0
